pc1,pc2,pc3,pc4
-2.035219559,-0.34945286,2.290253613,0.285088264
-2.094791499,0.003381776,1.423937171,-0.314667849
-1.168151795,0.011456995,1.969581163,-0.195131799
-1.465283539,-0.083688418,1.430819077,0.704542376
-1.200649712,-0.443395028,1.36783023,-0.829992805
-0.454744516,0.161691478,2.912627967,-0.160943158
-0.559933951,0.117080216,2.825160407,-0.097403771
-0.73895543,0.018837296,2.658817259,-0.40032964
-1.395502052,-2.394775134,0.223408613,-1.228568685
-0.918050426,-2.957732987,0.408216704,-2.158672188
0.057625772,0.297203443,3.59030363,0.202473322
-0.475012519,-2.487871484,0.342192756,0.028109712
3.377096858,-1.761064496,1.436619927,0.96470741
1.794382277,-2.143465471,1.534143753,0.680583361
-0.649350153,-2.071065328,0.299656503,0.440385222
-1.668622794,-3.069779553,0.085507161,-0.004945397
-0.837214479,-0.535928329,1.546009706,1.703087406
1.841325517,-3.008614159,-1.045169627,2.385331427
2.946915532,-2.889326063,0.425350696,0.877260166
3.826867977,-2.537734802,0.514084882,0.281042698
5.884917922,-1.847251114,0.619313497,-0.660504167
-0.384454605,-2.770799269,-0.631748674,0.202945426
0.11688106,-3.282523562,-1.745239775,0.057313601
0.143091777,-1.877167168,0.224369534,0.007473963
3.456298921,-1.98635448,0.173560246,-1.982588384
-2.116885835,-1.902115911,-0.143949612,-1.95834833
-2.519965488,-0.812808436,0.878288113,-1.345116264
-2.280313584,-0.020761151,0.773508927,-0.994516999
0.97979205,-1.654418613,-0.290469023,-0.474942506
5.17987959,-1.036963099,-0.146596596,-1.371683677
-0.205821711,-2.533571596,-0.670895254,0.955047138
-0.771937103,0.019469449,1.518518938,-1.470688639
-0.898099489,0.497258481,1.989763334,-0.835694602
-0.369832324,0.311643848,1.529272393,-1.072679609
0.008625717,-0.076839535,1.227637707,-1.400190965
3.74534282,3.202730978,0.42779376,-0.019801276
6.733042232,3.84331253,0.317617183,-0.512521392
-0.604086988,3.130129148,-0.118415986,2.15771939
-1.272849355,3.008694336,-0.556505038,1.4336337
-1.711766828,2.334559551,-0.467967176,2.016602032
-1.551531674,1.997905601,-0.511796409,0.13601452
-1.282860621,2.155018573,0.04251921,2.128173826
-0.290855129,3.344734681,1.061518702,0.467471415
-0.187519835,2.658815115,0.421480395,0.888481239
-4.016899444,1.259364526,-1.686656039,-0.333705093
0.104200362,3.333303437,0.745639244,1.345507879
0.205957546,1.596707151,-0.133385966,0.497877743
-1.909070804,2.873145035,0.542813184,0.377113335
-0.339161143,1.764348594,-0.142979126,0.501413122
1.272444164,1.848819344,0.050397628,0.56949187
1.124795214,1.304916411,-0.705462479,0.110448072
-0.926379692,2.911348972,0.705708688,-0.199821947
2.551798747,1.806295725,0.074785176,0.769088585
4.502457408,2.586106107,0.214299192,-0.288093601
1.27109313,1.631367834,0.844345862,2.603512143
2.159880618,0.040181697,0.315016914,2.419281157
-1.290003388,-0.265421295,-1.266599707,-0.42368338
2.273213934,0.557889817,0.902666638,1.8628248
2.883031177,-2.351785486,-1.441966125,0.921159592
4.632291176,3.339810059,-1.295387456,0.132893493
5.282753789,1.071631471,-0.942582477,-0.873892703
7.230462164,0.488530415,-0.132863561,-1.762108017
0.053705083,-0.442229735,-1.90666407,0.313607913
1.387117979,-0.424044923,-1.460997599,0.6283521
2.764561049,1.147442257,-1.274746787,-0.167335203
6.740044674,2.115243067,-1.309697677,-2.295124975
-1.793906214,1.673268629,-0.723472713,-0.908580443
-1.306865455,1.110723241,-1.966299963,0.374958332
-0.628203695,3.032550375,0.045586835,0.991401862
2.244086174,1.842741436,0.668941307,1.633816137
6.116350523,0.396234215,-1.264855887,-1.061903144
1.599448134,0.93858427,-3.50969318,-1.134876376
-1.051097086,2.108362876,-0.352631875,-1.683249709
-0.929988579,2.312661501,0.181686431,-1.457733924
-1.294716178,1.54059278,-0.733082672,-1.095519649
-1.269788984,1.157665016,-1.202442189,-2.568611422
